id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attack_delay_total,attack_delay_events,attempts,route,total_fee,attempts_history
22,5422,2546,108904,24768,18446744073709551615,25571,0,1,0,0,0,0,0,1,53590-56383-21224-21682,1221,"[{""attempts"":1,""is_succeeded"":1,""end_time"":25571,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":53590,""from_node_id"":5422,""to_node_id"":5366,""sent_amt"":110125,""edge_cap"":7995538,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":56383,""from_node_id"":5366,""to_node_id"":457,""sent_amt"":109125,""edge_cap"":957572318,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":21224,""from_node_id"":457,""to_node_id"":130,""sent_amt"":108905,""edge_cap"":133221168,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000},{""edge_id"":21682,""from_node_id"":130,""to_node_id"":2546,""sent_amt"":108904,""edge_cap"":11313546,""channel_cap"":510426000,""group_cap"":null,""channel_update"":510426000}]}]"
23,5405,5866,90701,25453,18446744073709551615,28656,1,0,0,2,0,0,0,4,53532-60571-57319-58213-58570,6198,
24,1451,1428,104524,25548,18446744073709551615,26151,1,1,0,0,0,0,0,2,9316-99-9142,2098,
25,5293,1142,93820,25870,18446744073709551615,29271,1,0,0,2,0,0,0,4,52341-48200-48654-7146,2002,
26,1489,426,94380,26142,18446744073709551615,26743,0,1,0,0,0,0,0,1,10395-9514-2069,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":26743,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":10395,""from_node_id"":1489,""to_node_id"":1473,""sent_amt"":94382,""edge_cap"":45491720,""channel_cap"":48394000,""group_cap"":null,""channel_update"":48394000},{""edge_id"":9514,""from_node_id"":1473,""to_node_id"":342,""sent_amt"":94381,""edge_cap"":833636607,""channel_cap"":16000000000,""group_cap"":null,""channel_update"":16000000000},{""edge_id"":2069,""from_node_id"":342,""to_node_id"":426,""sent_amt"":94380,""edge_cap"":16244816740,""channel_cap"":16777215000,""group_cap"":null,""channel_update"":16777215000}]}]"
27,1611,5801,106188,26542,18446744073709551615,29945,1,0,0,2,0,0,0,4,15716-27718-52537-57783,2032,
28,1539,1267,110998,26967,18446744073709551615,30167,1,0,0,2,0,0,0,4,11192-22569-25415-7842,2002,
29,496,1324,103412,26992,18446744073709551615,27397,0,1,0,0,0,0,0,1,2465-8590,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":27397,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":2465,""from_node_id"":496,""to_node_id"":87,""sent_amt"":103414,""edge_cap"":79643122,""channel_cap"":80793000,""group_cap"":null,""channel_update"":80793000},{""edge_id"":8590,""from_node_id"":87,""to_node_id"":1324,""sent_amt"":103412,""edge_cap"":47378004,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000}]}]"
30,2902,5000,95428,27935,18446744073709551615,31136,1,0,0,1,0,0,0,3,36529-14989-58441-49576,192,
31,2816,3173,89247,28798,18446744073709551615,32199,1,0,0,2,0,0,0,4,24005-23961-33902-27631,4000,
32,2223,2680,113054,28964,18446744073709551615,29564,0,1,0,0,0,0,0,1,50013-42369-22550,114,"[{""attempts"":1,""is_succeeded"":1,""end_time"":29564,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":50013,""from_node_id"":2223,""to_node_id"":2,""sent_amt"":113168,""edge_cap"":355974026,""channel_cap"":374931000,""group_cap"":null,""channel_update"":374931000},{""edge_id"":42369,""from_node_id"":2,""to_node_id"":2615,""sent_amt"":113055,""edge_cap"":336310397,""channel_cap"":350000000,""group_cap"":null,""channel_update"":350000000},{""edge_id"":22550,""from_node_id"":2615,""to_node_id"":2680,""sent_amt"":113054,""edge_cap"":1453902,""channel_cap"":40000000,""group_cap"":null,""channel_update"":40000000}]}]"
33,2892,3849,93566,29868,18446744073709551615,33269,1,0,0,2,0,0,0,4,47461-48383-39516-34379,4094,
34,5449,1101,114701,31245,18446744073709551615,34647,1,0,0,1,0,0,0,3,53828-51632-51555-6939,40,
35,2582,4507,84794,32097,18446744073709551615,36100,1,1,0,1,0,0,0,3,21634-58614-53003-43856,2416,
36,3869,249,115415,33752,18446744073709551615,34557,0,1,0,0,0,0,0,1,34600-33283-33788-813,1001,"[{""attempts"":1,""is_succeeded"":1,""end_time"":34557,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":34600,""from_node_id"":3869,""to_node_id"":377,""sent_amt"":116416,""edge_cap"":1789025,""channel_cap"":50000000,""group_cap"":null,""channel_update"":50000000},{""edge_id"":33283,""from_node_id"":377,""to_node_id"":3726,""sent_amt"":115416,""edge_cap"":29835436,""channel_cap"":29989000,""group_cap"":null,""channel_update"":29989000},{""edge_id"":33788,""from_node_id"":3726,""to_node_id"":130,""sent_amt"":115416,""edge_cap"":117672685,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000},{""edge_id"":813,""from_node_id"":130,""to_node_id"":249,""sent_amt"":115415,""edge_cap"":142063851,""channel_cap"":150000000,""group_cap"":null,""channel_update"":150000000}]}]"
37,1799,4188,112693,35237,18446744073709551615,36039,1,1,0,0,0,0,0,2,13288-51554-51631-38944,2046,
38,5686,1089,83644,36113,18446744073709551615,39314,1,0,0,2,0,0,0,4,56425-55830-6799-6915,4040,
39,408,1062,107421,38204,18446744073709551615,38806,0,1,0,0,0,0,0,1,1926-3817-6933,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":38806,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":1926,""from_node_id"":408,""to_node_id"":326,""sent_amt"":107423,""edge_cap"":1366481,""channel_cap"":20000000,""group_cap"":null,""channel_update"":20000000},{""edge_id"":3817,""from_node_id"":326,""to_node_id"":359,""sent_amt"":107422,""edge_cap"":15689448039,""channel_cap"":16777215000,""group_cap"":null,""channel_update"":16777215000},{""edge_id"":6933,""from_node_id"":359,""to_node_id"":1062,""sent_amt"":107421,""edge_cap"":1132853074,""channel_cap"":1200000000,""group_cap"":null,""channel_update"":1200000000}]}]"
40,5093,3618,96695,40888,18446744073709551615,41489,0,1,0,0,0,0,0,1,50323-794-31729,2000,"[{""attempts"":1,""is_succeeded"":1,""end_time"":41489,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":50323,""from_node_id"":5093,""to_node_id"":54,""sent_amt"":98695,""edge_cap"":48723401,""channel_cap"":50000000,""group_cap"":null,""channel_update"":50000000},{""edge_id"":794,""from_node_id"":54,""to_node_id"":16,""sent_amt"":97695,""edge_cap"":125627159,""channel_cap"":2000000000,""group_cap"":null,""channel_update"":2000000000},{""edge_id"":31729,""from_node_id"":16,""to_node_id"":3618,""sent_amt"":96695,""edge_cap"":129754923,""channel_cap"":140000000,""group_cap"":null,""channel_update"":140000000}]}]"
41,3489,895,110848,41796,18446744073709551615,45196,1,0,0,2,0,0,0,4,30316-728-6485-5069,2002,
42,3327,2034,106187,42149,18446744073709551615,42756,1,1,0,0,0,0,0,2,28831-23574-15914,106,
43,4685,123,95600,42599,18446744073709551615,43405,0,1,0,0,0,0,0,1,46491-55156-46636-459,1001,"[{""attempts"":1,""is_succeeded"":1,""end_time"":43405,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":46491,""from_node_id"":4685,""to_node_id"":4100,""sent_amt"":96601,""edge_cap"":96429849,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":55156,""from_node_id"":4100,""to_node_id"":4683,""sent_amt"":95601,""edge_cap"":2175224,""channel_cap"":500000000,""group_cap"":null,""channel_update"":500000000},{""edge_id"":46636,""from_node_id"":4683,""to_node_id"":130,""sent_amt"":95601,""edge_cap"":35471020,""channel_cap"":500000000,""group_cap"":null,""channel_update"":500000000},{""edge_id"":459,""from_node_id"":130,""to_node_id"":123,""sent_amt"":95600,""edge_cap"":11018946447,""channel_cap"":12237197000,""group_cap"":null,""channel_update"":12237197000}]}]"
44,1616,1909,90327,44544,18446744073709551615,45149,0,1,0,0,0,0,0,1,11841-13454-14554,1001,"[{""attempts"":1,""is_succeeded"":1,""end_time"":45149,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":11841,""from_node_id"":1616,""to_node_id"":54,""sent_amt"":91328,""edge_cap"":90272053,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":13454,""from_node_id"":54,""to_node_id"":342,""sent_amt"":90328,""edge_cap"":338857767,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":14554,""from_node_id"":342,""to_node_id"":1909,""sent_amt"":90327,""edge_cap"":40794924,""channel_cap"":700000000,""group_cap"":null,""channel_update"":700000000}]}]"
45,358,2006,111524,44577,18446744073709551615,44979,0,1,0,0,0,0,0,1,6876-41154,0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":44979,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":6876,""from_node_id"":358,""to_node_id"":2,""sent_amt"":111524,""edge_cap"":15524380,""channel_cap"":651424000,""group_cap"":null,""channel_update"":651424000},{""edge_id"":41154,""from_node_id"":2,""to_node_id"":2006,""sent_amt"":111524,""edge_cap"":1005995,""channel_cap"":61337000,""group_cap"":null,""channel_update"":61337000}]}]"
46,1398,1033,82052,44675,18446744073709551615,48477,1,1,0,1,0,0,0,3,8851-10745-7537,2,
47,3864,2630,103605,44779,18446744073709551615,45382,0,1,0,0,0,0,0,1,34527-38595-48400,1103,"[{""attempts"":1,""is_succeeded"":1,""end_time"":45382,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":34527,""from_node_id"":3864,""to_node_id"":3821,""sent_amt"":104708,""edge_cap"":960754615,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":38595,""from_node_id"":3821,""to_node_id"":2,""sent_amt"":103708,""edge_cap"":961343349,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":48400,""from_node_id"":2,""to_node_id"":2630,""sent_amt"":103605,""edge_cap"":5061028,""channel_cap"":71337000,""group_cap"":null,""channel_update"":71337000}]}]"
48,2704,5554,99812,44806,18446744073709551615,48007,1,0,0,2,0,0,0,4,22797-43569-44998-54788,6000,
49,3676,4283,111977,45509,18446744073709551615,48910,1,0,0,2,0,0,0,4,52808-1496-1221-40266,4,
50,3858,1559,103531,47511,18446744073709551615,48113,0,1,0,0,0,0,0,1,34475-52696-11351,104,"[{""attempts"":1,""is_succeeded"":1,""end_time"":48113,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":34475,""from_node_id"":3858,""to_node_id"":2,""sent_amt"":103635,""edge_cap"":97549953,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":52696,""from_node_id"":2,""to_node_id"":345,""sent_amt"":103532,""edge_cap"":29842143,""channel_cap"":304981000,""group_cap"":null,""channel_update"":304981000},{""edge_id"":11351,""from_node_id"":345,""to_node_id"":1559,""sent_amt"":103531,""edge_cap"":499131519,""channel_cap"":500000000,""group_cap"":null,""channel_update"":500000000}]}]"
51,3644,1469,101293,48706,18446744073709551615,52507,1,1,0,2,0,0,0,4,37337-52736-48366,2,
52,3299,922,106710,49310,18446744073709551615,49912,1,1,0,0,0,0,0,2,28752-23574-42373,106,
53,926,3172,104008,49711,18446744073709551615,50514,1,1,0,0,0,0,0,2,5232-3884-11242-27617,2002,
54,2239,2626,105674,49822,18446744073709551615,50622,0,1,0,0,0,0,0,1,18231-52728-15024-22123,2000,"[{""attempts"":1,""is_succeeded"":1,""end_time"":50622,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":18231,""from_node_id"":2239,""to_node_id"":54,""sent_amt"":107674,""edge_cap"":18652944,""channel_cap"":20000000,""group_cap"":null,""channel_update"":20000000},{""edge_id"":52728,""from_node_id"":54,""to_node_id"":2,""sent_amt"":106674,""edge_cap"":27372680,""channel_cap"":354635000,""group_cap"":null,""channel_update"":354635000},{""edge_id"":15024,""from_node_id"":2,""to_node_id"":1,""sent_amt"":106674,""edge_cap"":38407453,""channel_cap"":608592000,""group_cap"":null,""channel_update"":608592000},{""edge_id"":22123,""from_node_id"":1,""to_node_id"":2626,""sent_amt"":105674,""edge_cap"":146200778,""channel_cap"":149673000,""group_cap"":null,""channel_update"":149673000}]}]"
55,1589,3506,95917,51359,18446744073709551615,54560,1,0,0,1,0,0,0,3,11611-30506-30516,2000,
56,4292,397,82879,52523,18446744073709551615,53123,0,1,0,0,0,0,0,1,40468-9933-1854,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":53123,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":40468,""from_node_id"":4292,""to_node_id"":347,""sent_amt"":82881,""edge_cap"":15163235,""channel_cap"":822856000,""group_cap"":null,""channel_update"":822856000},{""edge_id"":9933,""from_node_id"":347,""to_node_id"":349,""sent_amt"":82880,""edge_cap"":16183759963,""channel_cap"":16777215000,""group_cap"":null,""channel_update"":16777215000},{""edge_id"":1854,""from_node_id"":349,""to_node_id"":397,""sent_amt"":82879,""edge_cap"":1623018,""channel_cap"":47860000,""group_cap"":null,""channel_update"":47860000}]}]"
57,664,4970,91369,52681,18446744073709551615,55882,1,0,0,1,0,0,0,3,3419-3408-58441-49516,2184,
58,2364,5758,91401,52923,18446744073709551615,53525,0,1,0,0,0,0,0,1,31478-55257-57416,1000,"[{""attempts"":1,""is_succeeded"":1,""end_time"":53525,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":31478,""from_node_id"":2364,""to_node_id"":3467,""sent_amt"":92401,""edge_cap"":30269924,""channel_cap"":1000000000,""group_cap"":null,""channel_update"":1000000000},{""edge_id"":55257,""from_node_id"":3467,""to_node_id"":54,""sent_amt"":92401,""edge_cap"":239515347,""channel_cap"":241422000,""group_cap"":null,""channel_update"":241422000},{""edge_id"":57416,""from_node_id"":54,""to_node_id"":5758,""sent_amt"":91401,""edge_cap"":8589779,""channel_cap"":258133000,""group_cap"":null,""channel_update"":258133000}]}]"
59,3178,3475,92081,53577,18446744073709551615,56777,1,0,0,1,0,0,0,3,27680-27163-8202-16276-30145,14048,
60,5942,5800,97323,53577,18446744073709551615,53577,0,0,0,0,0,0,0,1,,,
61,3024,5947,103887,55803,18446744073709551615,59003,1,0,0,1,0,0,0,3,26285-53018-60078,2418,
62,964,4234,117470,55814,18446744073709551615,59014,1,0,0,2,0,0,0,4,5462-12282-6485-39526,202,
63,4483,4514,86362,56828,18446744073709551615,60230,1,0,0,2,0,0,0,4,44357-29408-29391-43936,2686,
64,5850,1623,96613,57275,18446744073709551615,60676,1,0,0,2,0,0,0,4,58299-41300-13828-11885,2004,
65,5221,4009,109180,57481,18446744073709551615,60683,1,0,0,2,0,0,0,4,60639-14499-36800,8,
66,3767,4213,87769,58207,18446744073709551615,62010,1,1,0,1,0,0,0,3,33279-32828-44899,1053,
67,856,3210,120823,60537,18446744073709551615,63937,1,0,0,2,0,0,0,4,4777-3504-32109-27950,86,
68,4822,2220,103708,61567,18446744073709551615,62370,1,1,0,0,0,0,0,2,48337-55156-55167-17913,2002,
69,4504,2358,101047,62269,18446744073709551615,65670,1,0,0,1,0,0,0,3,43831-44168-21291-19381,2014,
70,694,5390,99114,62403,18446744073709551615,66411,1,1,0,1,0,0,0,3,13441-53016-55603-53481,2420,
71,446,4711,104312,63659,18446744073709551615,64262,1,1,0,0,0,0,0,2,2167-5158-46931,4,
72,4297,5866,101098,64770,18446744073709551615,67971,1,0,0,2,0,0,0,4,41090-48359-58213-58570,4000,
73,5590,800,99241,66457,18446744073709551615,69858,1,0,0,1,0,0,0,3,54990-46038-25259-4417,2000,
